Data,TempMax,Temp Min,Avg,Td Avg(C),Wilgotność (%),Wiatr kierunek,Wiatr prędkość,Wiatr porywy,Ciśnieni(Hp),opad(mm),snow(cm)
12.02.2023,4.8,0,2,-1.9,76.2,NW,14.3,43.2,1032.9,0,0
11.02.2023,4.1,1.2,2.2,0.3,86.9,WSW,16.7,46.8,1025.1,0.3,2
10.02.2023,1.5,-1.7,-0.2,-4.8,71.4,WSW,13.1,36,1031.8,0,3
09.02.2023,3.1,-8.7,-3.5,-7.7,74.7,SSE,7.5,0,1039.9,0,4
08.02.2023,2,-2.6,-0.7,-3.9,79.7,SW,6.9,0,1045.1,0,5
07.02.2023,0.2,-6.9,-2.8,-4.2,89.1,W,12,0,1040.8,0,5
06.02.2023,-1.4,-8,-5.2,-6.6,90,W,7.2,0,1040,0,6
05.02.2023,-2.1,-7,-3.7,-7.2,76.7,NW,14,0,1036.2,0,6
04.02.2023,-0.4,-4.3,-1.4,-4.5,80.6,N,22.1,0,1020.2,0.9,6
03.02.2023,1.9,-1.9,0,-2.4,85,SW,15.5,39.6,1015.3,3,0
02.02.2023,3.5,1.2,2.6,0.9,88.9,W,16.3,46.8,1005.3,4,0
01.02.2023,4.9,1.4,3.1,0.4,82,WSW,21.3,54,1004.6,1.1,0
31.01.2023,4.3,1.8,2.7,-0.6,79.4,W,21.6,46.8,1007.5,0,0
30.01.2023,2.6,-0.8,0.5,-1,89.5,SW,13.7,39.6,1007.6,2.1,0
29.01.2023,0.4,-1.7,-0.8,-4,78.9,WSW,14.3,36,1023.4,0.1,0
28.01.2023,0.5,-0.7,0.1,-1.3,90.4,N,10.5,0,1024.8,0.3,0
27.01.2023,1.7,-1.2,0.1,-3.2,78.8,NE,6.6,0,1021.9,0,0
26.01.2023,0.6,-0.9,-0.1,-2.4,84.9,SSE,6.3,0,1024,0,0
25.01.2023,2.2,-1.6,-0.2,-2.1,87.2,W,9.8,0,1035.2,0,0
24.01.2023,3.1,1.4,2,0.8,91.9,N,7.1,0,1039.4,0,0
23.01.2023,1.9,0.7,1.2,0.3,94.2,NNE,11.4,0,1036.3,0.1,0
22.01.2023,1.7,0.9,1.4,0.5,94.1,NE,15,0,1028.3,0.1,2
21.01.2023,1.8,0,0.8,0,94.2,NNE,23.1,46.8,1017.1,7,5
20.01.2023,2.4,0.2,1.1,0.1,93.8,NNW,11,0,1013,3,1
19.01.2023,2.7,0.4,1.8,0.7,92.2,E,8,32.4,1004.6,0.1,0
18.01.2023,2.5,-2.1,1.2,0.4,94.8,ENE,12.2,39.6,992.7,4.8,0
17.01.2023,5,0.6,3.5,1.7,89,SE,12,0,991.7,3,0
16.01.2023,5.8,1.4,3.5,1.8,89.3,SSE,10.7,0,1003.4,0.8,0
15.01.2023,7.7,3.9,5,1.6,78.3,SSE,14.3,39.6,1006.9,4,0
14.01.2023,8.5,3.9,6.6,3.3,79.9,SSW,7.8,0,1015.1,0,0
13.01.2023,8.8,5,6.8,3.9,81.4,SSE,12,0,1011.3,0.9,0
12.01.2023,8.9,3,5.5,3.7,87.9,SSE,9.9,0,1015.4,1,0
11.01.2023,4,1.8,2.7,2.1,96.4,SSE,10.2,39.6,1019.6,0,0
10.01.2023,7.1,3.7,5.8,4.5,92.1,WNW,12.2,0,1011.2,0,0
09.01.2023,6.8,2.6,3.9,3,93,ESE,13.2,0,1005.8,2,0
08.01.2023,5.1,2.3,3.4,2,91.6,SE,16.2,39.6,1016.3,0,0
07.01.2023,7.1,-0.1,2.8,2.5,96.8,SSE,5.7,39.6,1020,3,1
06.01.2023,5.4,-0.1,1.5,-1.6,81.3,NW,17.4,57.6,1019.3,0.5,0
05.01.2023,9,5.2,7.5,5.6,87.6,WSW,21.8,61.2,1005.1,10,0
04.01.2023,5.7,-3.9,2.4,0,84.3,SSW,10.2,39.6,1024.2,1,0
03.01.2023,11.5,4.1,8.6,4.3,75.3,WSW,16.7,50.4,1022.2,0,0
02.01.2023,14.1,7.3,10.8,6.1,74.2,S,8.3,0,1020,0,0
01.01.2023,18.9,13.4,15.2,7.2,59.4,SW,13.5,36,1015.9,0,0
31.12.2022,14,0.3,6.8,4.1,82.1,S,10.4,39.6,1015.1,0,0
30.12.2022,9.2,2.9,7.4,2.2,70.7,SW,10.1,46.8,1014.2,0,0
29.12.2022,8.7,3.7,6.1,1.1,70,S,9.2,28.8,1012.5,0.6,0
28.12.2022,4.9,-0.6,3,-0.1,80,SW,10.5,0,1021.1,0,0
27.12.2022,9.4,2.7,5.8,3.4,86.3,W,17.3,64.8,1016.3,4,0
26.12.2022,10.6,3.3,5.7,5,94.8,SE,11.7,0,1015.5,11,0
25.12.2022,5,3.2,3.9,3.5,97.2,ESE,6.9,0,1020,1,0
24.12.2022,6.9,3.5,5,4.4,96.9,NE,9.8,0,1008.5,1.7,0
23.12.2022,6.9,4.2,5.4,4.8,95.5,SSW,8,0,1005.1,2.1,0
22.12.2022,5.5,2.1,2.9,2.4,96.1,SSE,6.6,0,1010.2,0.2,4
21.12.2022,3.9,1.4,2.5,-0.6,80.6,SSE,6.2,0,1015.6,3.1,9
20.12.2022,4.1,-5.7,0.2,-2.3,81.8,SSE,9.2,0,1022.6,2,13
19.12.2022,-5.4,-10.2,-7.1,-9.6,83,SE,13.5,0,1037,0,15
18.12.2022,-3.7,-6.9,-5.1,-6.8,87.5,WNW,12.5,0,1035,0,15
17.12.2022,-3,-6.9,-4.5,-6.1,88.6,NNW,17.3,0,1020.5,0.2,16
16.12.2022,-2.6,-6,-4.2,-5.9,87.7,NE,14.9,0,1013.7,2,13
15.12.2022,-3.9,-6.1,-4.7,-6,89.8,SSW,10.2,0,1008.3,0.5,14
14.12.2022,-3.9,-14.3,-8.2,-10.1,87.8,SE,8.3,0,1013,0,13
13.12.2022,-0.2,-4.2,-2.1,-4.3,85.3,WSW,16.5,43.2,1008.8,0.3,12
12.12.2022,0.3,-4.1,-2.1,-3.2,91.8,W,15.8,0,1001.3,4.6,12
11.12.2022,-0.3,-4,-2.3,-3.5,92.4,NNW,16.5,0,1005.5,5.4,1
10.12.2022,0.9,-0.3,0.2,-0.7,93.5,NNE,14.4,0,1007.9,0.4,1
09.12.2022,2.2,-3.9,-0.5,-1.5,94.1,SE,5.3,0,1009.8,0,0
08.12.2022,2.4,-0.4,1,-1.3,84.8,SSW,10.7,36,1010,0.1,0
07.12.2022,2.6,0.2,1.3,0.6,95.3,SW,8.7,28.8,1008.4,6,0
06.12.2022,2.1,1.1,1.6,0.8,95,ESE,8.6,0,1016.6,3,0
05.12.2022,1.5,0,0.7,-0.9,89.1,ESE,20.7,0,1024.6,0,0
04.12.2022,1.4,0.3,0.7,-0.1,94.4,ESE,24.2,46.8,1027.3,0,0
03.12.2022,0.5,-3.9,-1.8,-2.9,91.8,E,11.9,0,1028.5,0.2,0
02.12.2022,-1.4,-4,-2.8,-5.3,83.4,ENE,13.8,0,1029.9,0,0
01.12.2022,1.6,-1.5,0.9,-1.2,86.7,ENE,12.8,0,1030.9,0,0
30.11.2022,1.4,0.5,0.9,-1.8,82.1,ESE,14.7,0,1029.7,0,0
29.11.2022,1.7,0.4,0.9,-1.3,85.8,ESE,18.5,0,1025.9,0,0
28.11.2022,2.4,0.4,1.7,1,95.6,ESE,9.3,0,1026.2,0.1,0
27.11.2022,3.7,0,1.3,0.3,92.6,WSW,6.3,0,1029.9,0,0
26.11.2022,1.6,0.1,0.9,0.3,96,WNW,8,0,1024.9,0,0
25.11.2022,0.9,-0.9,-0.2,-0.8,95.5,WSW,6.3,0,1018.1,0,0
24.11.2022,-0.6,-2.1,-1.3,-2.3,93.3,NNE,10.1,0,1011.9,3,0
23.11.2022,0.8,-1.1,0.2,-0.6,95.3,E,16.4,0,1009.9,0,0
22.11.2022,2.6,0.2,0.9,-0.2,92.3,ESE,11,0,1008,0,0
21.11.2022,2.1,-7.7,-2.6,-4.3,87.5,ESE,9.3,0,1008.5,0,0
20.11.2022,0.5,-6.8,-3.7,-6.7,79.6,SE,9,0,1014.2,0,0
19.11.2022,-1.5,-4.7,-3.3,-6.8,77.2,N,9.9,0,1012.9,0.1,0
18.11.2022,-0.6,-2.6,-1.5,-5.1,76.6,NNE,13.4,0,1007.3,0,0
17.11.2022,3.1,-1.7,1.3,-2.4,77.6,ENE,18.5,43.2,1009.7,0,0
16.11.2022,5.7,2.6,4.4,3.4,93.4,NE,14.9,43.2,1010.5,1.4,0
15.11.2022,6.4,4.1,5.4,4.3,93.1,SSE,8,0,1017.8,0,0
14.11.2022,8.4,6.2,7.2,5.9,91.5,SE,9.8,0,1027.9,0,0
13.11.2022,9.2,7.9,8.5,7.9,95.9,SSW,4.4,0,1032.3,0.6,0
12.11.2022,10.1,7.6,8.9,7.2,89.4,W,10.1,0,1031.3,0,0
11.11.2022,11.4,5.9,8.9,7,87.9,WSW,9.5,36,1028.7,0,0
10.11.2022,11.9,3.7,8.4,7.4,93.5,WSW,8.4,0,1019.5,3,0
09.11.2022,13.3,5.3,8.5,6.5,87.9,SSE,7.8,0,1016.4,0,0
08.11.2022,15.5,5.9,9.7,6.6,81.8,S,5.7,0,1017.5,0,0
07.11.2022,11.7,1.3,7.2,5.5,88.6,SSE,8.6,0,1017.5,0,0
06.11.2022,9.9,4.7,7.3,6.4,95.2,WSW,8.3,0,1020.2,0.1,0
05.11.2022,9.9,7.3,8.7,6.8,88.3,ESE,11,0,1011.5,6.8,0
04.11.2022,12.9,5.5,8.3,4.8,79,ESE,18,0,1012.1,0,0
03.11.2022,12.9,5.6,9.6,5.8,78.2,WSW,9.6,0,1021.5,0,0
02.11.2022,14.8,8.8,11.4,10.3,93.3,W,10.2,0,1019,0,0
01.11.2022,12.4,9.5,11,10.7,98.7,SE,5.9,0,1018.9,0.1,0
31.10.2022,14.7,4.8,9.7,8.9,95.3,SE,5.1,0,1020.9,0,0
30.10.2022,15.3,11,12.9,10.4,85.7,W,8.7,0,1020,0,0
29.10.2022,17.4,10,14.5,11.3,82,WSW,11,43.2,1019.8,0.3,0
28.10.2022,19,5.9,11.4,9.8,90.2,SSE,5.3,0,1025.2,0.1,0
27.10.2022,18,4.8,9.8,8,88.9,SSW,4.5,0,1025.8,0,0
26.10.2022,14,8.1,12.1,10.5,90.7,W,9.9,0,1019.7,0,0
25.10.2022,17,10.7,14,12.3,89.9,WSW,8.6,0,1014.2,2,0
24.10.2022,17.3,7.1,11.5,10.2,92.7,SE,6.5,0,1015.3,0.2,0
23.10.2022,15.7,11.9,13.3,12,91.6,WSW,11.6,28.8,1016.8,2,0
22.10.2022,12.6,7.2,9.8,8.6,91.6,S,5.9,0,1013.5,3.4,0
21.10.2022,9.6,0,4.8,1.9,82,SE,11,0,1021.5,0,0
20.10.2022,11.2,0.8,5.4,2.5,83.7,W,7.2,0,1027.5,0,0
19.10.2022,13.6,6.9,11.1,8.4,85.1,WNW,17.9,50.4,1021.2,2.5,0
18.10.2022,19.5,10.9,15.1,11.2,78.5,WSW,8,0,1023.8,8,0
17.10.2022,21.3,9,15,11.8,83.1,SSE,5.4,0,1026.3,0,0
16.10.2022,19.7,12,15.5,11,74.3,SSE,7.8,0,1018.7,0,0
15.10.2022,18,7.1,12.2,9.3,83.9,SE,9.2,32.4,1015.2,0.3,0
14.10.2022,15.4,5.2,9.6,6.5,81,ESE,9.6,0,1019.2,0,0
13.10.2022,14.8,2.4,9,4.6,76.9,ESE,7.5,32.4,1025.4,0,0
12.10.2022,14.8,0.7,8.1,4.2,78.7,WSW,5.7,0,1026.9,0,0
11.10.2022,15.2,5.9,10.2,6.1,77.2,WSW,11.9,0,1021.3,0,0
10.10.2022,15.3,0.7,7.4,4.1,81.5,SE,10.1,32.4,1026.4,0,0
09.10.2022,15,6.4,10.7,8,84.8,W,13.4,0,1023.5,0.1,0
08.10.2022,19.7,9,13.7,10.8,83.3,S,6.9,0,1018.6,5,0
07.10.2022,18.6,2.6,11,6.7,77.4,SSE,5.9,0,1029.1,0,0
06.10.2022,19.7,8.6,14,9.7,76.1,WSW,10.2,46.8,1022.7,0,0
05.10.2022,17.5,7.8,11.8,8.3,79.9,SSW,6.6,28.8,1021.5,0,0
04.10.2022,15.1,8.9,11.2,8.2,81.9,W,19.7,43.2,1015.5,0,0
03.10.2022,14.7,9.2,10.8,7.7,82.4,W,24.2,61.2,1009.2,3,0
02.10.2022,15,10,11.6,9.4,86.7,W,14.9,43.2,1009,1.2,0
01.10.2022,14.1,6.9,10.8,8.6,86.5,SE,5.9,0,1013,1,0
30.09.2022,12.9,3,7.8,5.7,86.5,E,6.8,0,1012.4,0,0
29.09.2022,11.7,6.3,8.9,6.7,87.4,WSW,7.5,0,1003.3,5,0
28.09.2022,14.8,9.7,11.7,8.8,83.4,SSW,9,0,998.6,15.1,0
27.09.2022,15,10.3,11.9,10.5,91.7,ESE,9.8,0,1002.1,0.9,0
26.09.2022,18.9,5.6,11.4,8.3,83.8,SE,6.9,0,1007.6,0.4,0
25.09.2022,17.7,5.2,10.6,6,74.7,ESE,6.6,0,1014.1,0,0
24.09.2022,15.8,2.9,10.1,4.5,71.7,S,4.4,0,1017.1,0,0
23.09.2022,16.1,5.7,10,6.1,78.9,W,10.7,0,1020.2,0,0
22.09.2022,15.4,7.9,10.6,7.8,84.2,WNW,12.8,0,1021.3,0.3,0
21.09.2022,15.7,8.9,11.4,8.3,82.5,WNW,16.7,0,1019.3,0,0
20.09.2022,15.6,8.4,10.5,8.7,88.8,W,10.7,0,1013.3,2.1,0
19.09.2022,11.5,6.7,9,7.3,89.9,WSW,13.4,0,1006.8,1.2,0
18.09.2022,13.1,9,10.6,8.6,87.3,W,13.4,0,1003.2,2,0
17.09.2022,13.9,7.7,11.2,7.4,78.2,SW,8.4,0,1003.4,0,0
16.09.2022,18.1,11.1,14.1,8.3,70.2,WSW,13.5,43.2,1002.8,0,0
15.09.2022,19.7,12.8,15.6,11.1,75.9,WSW,9.3,0,1001.6,0,0
14.09.2022,19.9,13.3,16.2,12.4,79.5,WSW,11.3,36,1004.9,5,0
13.09.2022,18.3,4.3,12.4,9.2,82.4,S,4.5,0,1012.4,0,0
12.09.2022,15,9.6,12.1,9,82.1,WNW,17.4,0,1013.1,0.7,0
11.09.2022,16.5,10.6,12.4,9.8,85.7,WNW,15.2,39.6,1010.2,6,0
10.09.2022,13.6,11.6,12.7,11.6,93,E,11.1,0,1014.9,0,0
09.09.2022,18.5,11.1,13.8,10.3,84.6,ESE,15.8,0,1014.9,5,0
08.09.2022,22.7,8.1,15.5,2.3,43.1,E,17.3,0,1017.3,0,0
07.09.2022,20.9,4.6,13.6,1.4,48.1,ESE,9.8,0,1021.3,0,0
06.09.2022,20.3,8.4,14.6,2.9,48.3,E,11.4,32.4,1025.8,0,0
05.09.2022,20.9,8.7,16.1,3.7,45.2,NE,12.8,0,1027.8,0,0
04.09.2022,22.8,9,16.1,6.4,55.4,E,10.5,0,1023.3,0,0
03.09.2022,22.3,7.9,15.6,3.6,47.3,ENE,10.4,32.4,1021.6,0,0
02.09.2022,20.9,9.2,15.1,4.9,54.1,NE,9.6,32.4,1022.6,0,0
01.09.2022,21,9.3,15.5,7.4,61.5,NW,14.4,0,1021,0,0
31.08.2022,22.3,13.2,17.6,10.3,66.1,NNW,13.5,0,1020.9,0,0
30.08.2022,20.4,14.4,17.5,13.5,78.7,W,15,0,1018.9,0,0
29.08.2022,23.5,18.5,20.3,15.1,75.1,W,15.2,43.2,1014.7,2,0
28.08.2022,30.9,17,24,13.3,52.9,SSE,9.3,0,1011.8,0,0
27.08.2022,31.8,18.1,25,12.8,48.9,ESE,8,0,1012.3,0,0
26.08.2022,32,15.6,25,12,46.6,E,8.6,0,1015.6,0,0
25.08.2022,32.5,19.9,25.6,15.5,60.1,ENE,11.4,0,1018.5,0.3,0
24.08.2022,29.8,18.1,23.1,18.3,75.8,WNW,8.9,0,1017.7,0.9,0
23.08.2022,30.6,19,23.4,18.2,74.6,NE,10.4,0,1014.2,1,0
22.08.2022,26,18.3,22.3,16.4,70,ENE,10.8,0,1012.5,0,0
21.08.2022,27.7,17.7,23,16.2,67.2,E,12.2,0,1011.2,0,0
20.08.2022,30.1,19.9,25.1,17,62.4,ESE,12.8,0,1012,0,0
19.08.2022,32,19.8,25.9,17.8,63,ESE,14.7,39.6,1012.4,0,0
18.08.2022,29.3,18.3,24.2,17.8,69.7,ESE,7.7,0,1013.4,0,0
17.08.2022,28.9,19.3,24,18.2,71.9,ENE,6.6,0,1011,0,0
16.08.2022,27.7,19.8,23.6,18.7,75.4,E,8.7,0,1009.3,0,0
15.08.2022,28.1,19,22.9,18.7,78.6,E,13.4,39.6,1009.4,0,0
14.08.2022,26.6,19.3,22.3,18.2,77.4,E,11.4,0,1013,0.7,0
13.08.2022,26.6,18.3,21.3,17.9,81.9,NE,11.3,36,1018.2,10,0
12.08.2022,26.5,18.2,21.2,15.2,69.2,ENE,11.9,43.2,1022.4,1,0
11.08.2022,25.8,13.8,19.6,11.6,60.8,NE,10.1,36,1024.6,0,0
10.08.2022,24.8,14.8,19.3,11.9,63.9,N,9.9,32.4,1026.6,0,0
09.08.2022,24.2,16.1,19.9,11.1,57.9,NNE,10.7,0,1026.3,0,0
08.08.2022,24.7,11.2,18.4,10.1,61.6,NE,6,0,1024.3,0,0
07.08.2022,22.2,11.6,17.6,9.5,61.8,N,8.4,32.4,1024.6,0,0
06.08.2022,28.4,16.4,20.6,16.2,78.3,NW,14.1,0,1017.6,13,0
05.08.2022,30.8,17.6,24.5,15.1,57,ESE,10.7,36,1016.2,0,0
04.08.2022,29,17.5,23.6,13.9,57.4,ESE,9,36,1019,0,0
03.08.2022,28.2,15.3,22.3,15.2,67.4,WSW,5,0,1018.7,0,0
02.08.2022,28.4,18.4,22.6,14.9,63.6,NW,6.9,0,1016.1,0,0
01.08.2022,25,13.1,18,13.7,78.3,W,12.5,0,1012.8,0,0
